skill,skill_premium_niavereg,skill_premium_countryfes,skill_premium_workerfes,skill_premium_controls,degree_nc,annvalue_nc,gini_nc,bridge_centrality_nc,degree_df,annvalue_df,gini_df,bridge_centrality_df,supply,demand
market-research,0.00273348346360282,-0.00150863744955672,0.08130896556439635,0.01000028852846393,195,29.637066779369622,0.9597440132122171,0.0074531564599106415,461,29.830068133756445,0.9048307184145244,0.00499346572906701,1310,923
telemarketing,-0.26352270423087676,-0.15823366244716827,-2.6908478775120903,-0.2050763751624693,49,5.232384439326836,0.9898843930635812,5.180398677087516e-4,118,-0.678321019524427,0.975639966969446,1.7593489401915885e-4,833,730
survey-monkey,0.7203139066463679,0.41419662533688206,3.8514190597446265,0.40428875588950103,12,2.1401388189785617,0.9975227085053671,8.923356306822753e-5,43,1.8299741638396068,0.9911230388108986,0.0013993034603401442,25,13
microsoft-excel,-0.2247032476154007,-0.15605894503952714,-0.34052649187361994,-0.19315941773812303,245,38.18083423955127,0.9494219653179221,0.01211279522929653,691,61.38766035302647,0.8573492981007691,0.02917272073986087,5147,3265
bookkeeping,-0.20264231267847585,-0.11015924662024867,-1.224985974466873,-0.17762183503183593,140,16.675830780139254,0.9710982658959549,0.002706349532686217,168,12.289584725244513,0.9653179190751366,0.0032473571342275,1078,614
salesforce.com,0.2879225071175446,0.2905571711088882,0.5932615514641135,0.2369698892580832,105,3.20176825469544,0.9783236994219604,0.002923865534786281,365,21.236685511194803,0.9246490503715997,0.006805348541452353,461,198
adobe-illustrator,0.00986641301583878,0.04120417562448343,-0.2034314459990809,0.03317339584749319,334,36.54226689877133,0.9310487200660633,0.015639845761417564,531,51.00552354266852,0.8903798513625238,0.012682336015641171,3716,2095
banner-design,-0.02578546188405806,0.01286527410594079,-1.206407181564764,0.00817098966380855,37,3.553544820996068,0.9923616845582156,2.9351925389754324e-4,80,5.933401116989492,0.9834847233691164,8.749471156128206e-5,586,351
illustration,0.06550186901228318,0.0415681184713494,0.21710123241735713,0.07996647658898878,152,17.726945866560353,0.9686209744013234,0.003139854514922619,255,26.912641552503956,0.9473575557390519,0.006537620988654558,1649,1126
print-design,0.04025475065640135,0.04256196747853731,-0.13369886010207443,0.01905953909336471,110,15.611027949378464,0.9772914946325306,0.0010245450887769354,162,13.605940776460768,0.9665565648224679,8.343684468969428e-4,881,788
print-layout-design,0.07721531666024103,0.06679660391399755,0.858304744643829,0.03938368972424745,34,4.51488740568984,0.9929810074318756,9.543684371511218e-4,102,5.459497105694086,0.9789430222956249,3.123437181592966e-4,623,705
web-design,-0.09126603550244627,-0.03276761445330782,0.05119088262886363,-0.06949042673796481,148,5.502362697553286,0.9694467382328714,0.005414239705844648,551,51.319925492427494,0.8862510322047692,0.009346326174871716,4017,3231
english,-0.06871397092815754,-0.1022075278839104,0.3973279874675998,-0.08569153078696828,413,44.56329594333522,0.914739884393049,0.03039272198586874,722,42.682987390934215,0.8509496284062653,0.04064074602957009,5293,4376
manual-testing,-0.6142419168505417,-0.6286607934118744,-0.5413649429356859,-0.586517494344375,57,8.372141256070881,0.9882328654004939,7.195604047346345e-4,53,5.511106042612413,0.9890586292320408,2.8592979454670803e-4,203,197
software-qa-testing,-0.4062203758062853,-0.3978782263734129,-1.2795213295844536,-0.3659753955253191,35,7.362726190735359,0.9927745664739884,3.605577004232599e-4,72,4.242592466089004,0.9851362510322059,5.139518146004315e-4,287,180
affiliate-marketing,0.17800646792185337,0.21957957266737357,3.10699691597086,0.23103932731346347,104,13.956935846700349,0.9785301403798521,0.0010093952060544309,184,12.5175679114802,0.9620148637489622,7.20783052619883e-4,197,77
clickfunnels,0.28184136795557774,0.28347428620342285,3.103773957370423,0.238788945704788,97,4.011634780522604,0.9799752270850545,0.001530291900458298,231,11.759561260237291,0.9523121387283237,0.0015509594946013208,540,192
infusionsoft-marketing,0.6119527058992009,0.3746794327243868,-2.166207435040102,0.37274712545872224,31,1.8509461914283496,0.9936003303055319,9.325817109477017e-5,39,2.674685378275137,0.9919488026424461,7.1465404784362344e-6,130,49
internet-marketing,-0.02561627409340066,-0.01098139176656505,-0.04019035184496861,-0.02544382169614822,144,16.217918497771105,0.97027250206441,0.001413622750577865,374,24.55998601469806,0.9227910817506155,0.0014576206452808751,1315,1258
lead-generation,-0.28348707403390794,-0.15008313626617664,-0.08445776788192326,-0.22087684492082568,142,7.7350746233338405,0.9706853839801809,0.0031079828050294073,379,24.06513132295498,0.9217588769611929,0.0018482234468445652,4388,2169
marketing-strategy,0.11343517407890276,0.07971387857111305,-0.38127477379843344,0.08420177394012923,204,26.188457748271954,0.9578860445912518,0.005639734689035346,528,32.68615707796117,0.8909991742361895,0.004920766682139991,2005,1741
cartooning,0.02489148507047489,-0.06125494195981947,-0.7162622163886666,0.07185282291539728,31,1.443158434494452,0.9936003303055311,1.8490101595305115e-4,29,3.760475289300369,0.9940132122213058,1.1070990434618037e-4,165,111
comic-art,0.1853648647510449,0.09766096580948427,-3.283492081829762,0.096017460851012107,21,1.4708826113340616,0.9956647398843942,6.653989661923878e-5,26,3.3646368299755522,0.9946325350949621,1.1291787107610119e-4,93,35
drawing,-0.02140534211897053,-0.09273321992511352,-1.1512511655594035,-0.02677126935732867,61,10.465561229633316,0.9874071015689527,0.0010498826115353274,55,9.746804869133959,0.9886457473162664,1.0338301979828767e-4,593,324
google-analytics,0.25012050979973915,0.1530669723851727,-0.20841523043172464,0.22508482069335173,170,23.66714007245595,0.964905037159378,0.004462645304610934,392,36.058546838307144,0.9190751445086578,0.0026000699310771004,1490,1104
google-website-optimizer,-0.2024705748942847,0.01838244581468567,-4.2791202496185825,-0.05331917219022712,9,2.143990420580951,0.9981420313790256,2.192116297771863e-6,5,1.6216609807618871,0.9989677952105698,1.0528303355253467e-7,71,7
wordpress,-0.16545445345745668,-0.08496380915343936,-0.3363516312173419,-0.14889325775592818,83,6.273636297965231,0.9828654004954568,0.0022614071376663514,759,58.665360334988804,0.8433113129645211,0.019001223917223885,9561,4553
wordpress-plugin,-0.05030655254305345,0.04246731535574919,0.47249670690575973,-0.02975239820503211,87,4.282918173816243,0.98203963666391,0.0010109503581720322,202,12.79919594572416,0.9582989265070182,5.897153482709634e-4,877,278
regression-testing,-0.30134331023035926,-0.344726248909643,-1.8405544530861224,-0.2797383002908924,39,6.166103165689978,0.9919488026424436,1.8859512340457994e-4,59,4.254631725664613,0.9878199834847246,1.001247704863843e-4,126,20
stata,0.5352480791413863,0.32839697839527965,-2.3233519006227907,0.33389901174591374,11,1.6737634156360028,0.9977291494632531,2.796559143713458e-5,4,1.4600995883367538,0.9991742361684558,0,32,5
statistics,0.5825273935986579,0.307567842641897,3.71537509143174,0.40464388026904086,166,15.670591222414606,0.9657308009909173,0.012456252127256925,112,11.327650776597707,0.9768786127167611,9.123446056912006e-4,225,128
adobe-photoshop,-0.12764935124273386,-0.05010770898894767,-0.7555345157123589,-0.0779228075218921,355,33.042457658361805,0.9267134599504617,0.019389404419189273,731,65.99111893807826,0.8490916597853186,0.0345388085634407,6778,3231
brand-consulting,0.4915993733852324,0.3245636854036414,3.2708426796050523,0.311375319216675,19,3.151051272186309,0.9960776218001643,4.05941311014592e-5,92,11.404439480612892,0.9810074318744835,1.4722785569015642e-4,148,39
graphic-design,0.033720399307731,0.06455630448786367,0.4745983342521485,0.04693406427110309,246,27.110332839440392,0.9492155243600413,0.014068687296514747,670,64.13938074390948,0.8616845582163686,0.023774860702391896,4577,3854
logo-design,-0.01133677886587755,0.04801319932681217,-0.0857544958673758,0.01529618368670577,115,8.826322742040869,0.9762592898431097,0.0017733271837863703,204,17.893458720701677,0.9578860445912548,0.0016624040925276953,2478,999
ios-development,0.24696232511317823,0.19703685657384956,-0.9043822675588948,0.22456420571542648,83,8.52665426349115,0.9828654004954609,0.0014950024203720326,73,3.585342586022161,0.9849298100743161,4.5950241581264994e-5,872,287
iphone-app-development,0.22486235799820453,0.20060267041556304,2.3338782294137586,0.21338238266852017,72,6.298795942397986,0.9851362510322048,8.907406840476182e-4,90,7.052521490778363,0.9814203137902571,9.046189878848784e-5,403,271
matlab,0.4671706063105947,0.31847604678177727,-3.400001538865504,0.34868792550401373,38,-0.2792882356684099,0.9921552436003321,8.428331392917412e-4,79,6.7855217344603735,0.9836911643270013,0.0021256110034407936,123,22
simulink,0.38793422918542153,0.23198415998924393,5.381523286835093,0.1561949084619252,0,0,NA,0,1,-0.1625879985188816,0.999793559042114,0,7,2
css,-0.03370846717183536,-0.01896688645220933,0.352173819171684,-0.01947657641037476,223,13.797028109216141,0.9539636663914136,0.008445996899403344,405,21.61597604189535,0.916391412056137,0.004385319858311273,5070,2920
html,-0.04989050507843164,-0.01728691041388803,0.20741025863426324,-0.02921341565236254,174,14.952533809580952,0.9640792733278234,0.005030108515248262,587,45.08850058294165,0.8788191577208874,0.009124702521382961,6585,3535
mysql,0.01661664294394444,0.03897435483006544,0.7594152999459058,0.03693892002341216,242,16.974872468907403,0.950041288191572,0.005886330192799954,414,29.52599364259418,0.9145334434351869,0.0046437959407411465,2337,982
php,-0.04241449178767665,0.0092795341698134,0.14544101751737412,-0.01360342559053027,237,17.762239502448622,0.9510734929810153,0.009074054780675056,550,45.07146641551053,0.8864574731626927,0.011412895864036756,6059,2290
website-development,-0.07928062290332041,-0.02449946819906052,0.5649130638115413,-0.07380779962140586,114,3.631208709868399,0.9764657308009891,0.004497178820822095,432,33.6474518058546,0.9108175061932337,0.005200251652803752,1812,3075
accounting,-0.17949006372075405,-0.1025719445929922,0.8063872356516515,-0.14674576774156198,109,7.259356787396862,0.9774979355904174,0.002206920141352355,127,10.86114199000123,0.9737819983484652,0.001667346279929632,1166,695
accounts-payable-management,-0.18707176309293183,-0.1224765356907805,-2.287276383945171,-0.1854278229386611,24,-1.09517303674242,0.9950454170107357,1.2985522727577923e-4,51,5.371980087644928,0.9894715111478136,1.4912207089010527e-4,333,100
accounts-receivable-management,-0.2531100224676845,-0.14199318719732437,-0.2301202399116764,-0.19967859849031433,56,7.0004375860182915,0.9884393063583804,7.91722718923679e-4,39,4.34859873678888,0.9919488026424428,1.1490277089305837e-5,327,98
bank-reconciliation,-0.33982874322627404,-0.15467990294411102,-1.4053243084249278,-0.2335101588959171,59,9.381955875604463,0.9878199834847257,4.3321845620084194e-4,61,9.765634436734366,0.9874071015689532,8.433649342225706e-5,386,236
certified-public-accountant,0.3320293427945833,0.1563736008453206,1.8093670155903816,0.1801336432297445,38,3.7443780208426025,0.9921552436003307,7.281856900108939e-4,37,2.898782081955275,0.9923616845582148,4.988906608436453e-4,89,51
cost-accounting,-0.13469013363159066,-0.03565827745434176,-0.08982105204295578,-0.09074561162455964,20,3.222258189528203,0.9958711808422799,1.4137772952078434e-4,15,2.5634810528568877,0.9969033856317085,2.73874332241307e-7,106,10
financial-accounting,-0.1384251592173215,-0.07123861512227012,-0.069650249435894,-0.09162117552922622,71,8.234923598667486,0.9853426919900946,0.0012285513316230286,85,6.37587731518248,0.98245251857969,3.352892484492715e-4,322,186
intuit-quickbooks,-0.2584342086839342,-0.15500957050421182,-0.1711360642204808,-0.22748510744371295,76,6.305716274810866,0.9843104872006614,0.0018268268403050065,99,6.976921281008609,0.9795623451692823,5.212159731488153e-4,752,353
inventory-management,0.04374412515422183,0.05628098329511613,0.5753060286084607,0.05870342151669933,96,12.088056749323883,0.9801816680429397,0.0018906478298966183,143,7.642243718920694,0.9704789430222911,0.0017392430948144082,299,113
tax-preparation,0.2567508869560975,0.1233008510926868,-0.10668885369010606,0.10572056353901092,24,1.78872681397897,0.9950454170107341,2.7131453512586716e-4,67,9.463682799919898,0.986168455821635,2.898830244052733e-4,193,131
arabic,-0.09023756433618574,0.07076766089098621,0.9491341085092296,0.08376228632018481,109,11.841075526329082,0.9774979355904223,0.0034725233455422046,163,9.208119117258335,0.9663501238645706,0.002960267126668461,228,104
mailchimp,0.2398654445811574,0.18948624045441304,-1.2775889184169142,0.1977751338119171,119,5.1106160064975,0.9754335260115641,0.0021107291592896396,360,25.357276067370165,0.9256812551610416,0.0040876124409564745,701,287
bootstrap,-0.06782659044370219,-0.04908720870833369,-2.618548425403745,-0.0318038578155494,67,3.6882390158620835,0.9861684558216331,4.392752886079248e-4,196,19.742748129440404,0.9595375722543308,6.008506466332259e-4,1943,370
html5,-0.05122739703149625,-0.02863747622289417,-0.18272913461413637,-0.03240646896289318,158,13.172157494900746,0.9673823286539982,0.0053024809215728875,527,42.00717813181433,0.891205615194068,0.010584033641066772,3899,2258
blog-writing,-0.08162280440139438,-0.07660280974106483,-0.8295628504438713,-0.07294947793840036,219,36.26809963315724,0.9547894302229588,0.005255436032780101,405,26.780805303459832,0.9163914120561508,0.0027304434593598595,2004,1421
content-writing,-0.06015374159900028,-0.04405848924603037,-0.6241535312110305,-0.06061274633929958,283,36.1714925810855,0.9415772089182449,0.014014520781898718,584,41.80331737723862,0.8794384805945676,0.009038760984242267,2726,3048
social-media-management,-0.13308594851280062,-0.10300193747488542,-0.254102512832357,-0.14358761482184804,165,22.78651902292786,0.9659372419488012,0.0023559785178350235,439,26.124214243722818,0.9093724194880358,0.003170948246582404,2568,1576
social-media-marketing,-0.11338822338814623,-0.07137878556127052,-0.01743565059430949,-0.10999925726985783,238,37.609925563350735,0.9508670520231143,0.007671763206121698,590,37.31090597681844,0.8781998348472615,0.006317466201789892,4564,2805
twitter-marketing,-0.24110356831143076,-0.17078066711512602,0.4848052173703883,-0.23955995352046827,51,11.724106794875597,0.9894715111478098,3.203380492598813e-4,170,10.606872398277172,0.9649050371593683,2.1784976746119333e-4,773,443
youtube-marketing,-0.07777957411460158,-0.07647863062369784,0.34036953665515196,-0.09661177930329014,147,19.32440414988115,0.9696531791907541,0.007039433770192581,191,13.710917442341612,0.9605697770437636,7.784203571227843e-4,581,312
javascript,0.06441385169152428,0.05132994808825917,0.2372477760398025,0.08646848123118853,283,17.149983794821928,0.9415772089182528,0.01391421227395779,681,54.07506231580413,0.8594137076796224,0.02163682912500539,5019,2780
data-entry,-0.4695147585025384,-0.3066433399318379,-0.6322196508273922,-0.3903994380732012,340,42.788926640533404,0.9298100743187501,0.024087600972755616,544,38.52357665188941,0.8876961189100038,0.009639720930316968,8045,5507
facebook,0.07554001801112623,0.06271353548478477,-0.6448500042562298,0.06731474016832388,133,13.300239048217414,0.9725433526011512,0.002322324985572403,463,33.08671234380594,0.904417836498779,0.0031704472332547877,3207,1772
css3,-0.05172234580950257,-0.05378664960510201,0.05088851494892434,-0.03974917056971266,178,5.7939479318495994,0.9632535094962934,0.004434240972092228,297,19.510657890995763,0.9386870355078523,0.0014830263865382844,2786,1208
seo-backlinking,-0.30296549979530896,-0.17535205852580155,0.1018646295321245,-0.20642129970905937,87,12.455948976501974,0.9820396366639141,7.133165778327963e-4,202,17.451032318141415,0.9582989265070194,4.871758755234191e-4,1190,882
seo-keyword-research,-0.146327383953981,-0.0947761137887266,-0.3814310734849639,-0.09884767313004313,120,14.91668438913765,0.9752270850536691,0.0018098418136161586,360,29.084930412608365,0.9256812551610217,0.0015561387054572034,1924,1306
ebay-listing-writing,-0.5038656336839396,-0.2973903262025486,-0.7218911132677598,-0.4198132095968425,51,5.638010988146043,0.9894715111478114,7.282829240192268e-4,89,4.875995831825513,0.9816267547481439,1.4719742291669456e-4,611,220
